ours_model,baseline_model,metric,n_pairs,baseline_minus_ours_mean,baseline_minus_ours_median,bootstrap95_low,bootstrap95_high,paired_t_p,wilcoxon_p,direction_good_for_ours,paired_t_p_fdr,wilcoxon_p_fdr
residual_likelihood_guided_diffusion,explicit_residual_target_diffusion,mae_kpa,25,0.11676192283630371,0.08099389076232866,0.05856588745117189,0.18953538513183596,0.002501262065722607,5.3882598876953125e-05,True,0.0031518459612385483,6.709908539394162e-05
residual_likelihood_guided_diffusion,explicit_residual_target_diffusion,rmse_kpa,25,0.056196829718459684,0.03443793650741611,0.024734318811651314,0.09072803505680836,0.0033351396523161746,0.0030878782272338867,True,0.004082928975920295,0.003639285053525652
residual_likelihood_guided_diffusion,explicit_residual_target_diffusion,mae_norm,25,0.008928892016410825,0.005740493535995497,0.00480828320235014,0.01379451444745063,0.0009774617068029783,2.664327621459961e-05,True,0.0012783384634858766,3.482091544878365e-05
residual_likelihood_guided_diffusion,explicit_residual_target_diffusion,rmse_norm,25,0.0021724019232345015,0.0009448092208045045,0.0008026593630878911,0.004137645510571774,0.021798406000461106,0.0006313323974609375,True,0.025686753145432378,0.000757598876953125
residual_likelihood_guided_diffusion,explicit_residual_target_diffusion,crps_norm,25,-0.01337183550000191,-0.015689153224229806,-0.01585467313230037,-0.010113698255270727,5.195056245529777e-09,2.562999725341797e-06,False,7.619415826777007e-09,3.5241246223449707e-06
residual_likelihood_guided_diffusion,explicit_residual_target_diffusion,uce,25,-0.05080091544095928,-0.0508598609091592,-0.05614749500954843,-0.04577048963937493,8.452261260610299e-16,5.960464477539063e-08,False,1.6169543281167527e-15,9.594894037014101e-08
residual_likelihood_guided_diffusion,explicit_residual_target_diffusion,ence,25,-11.89543522732527,-11.312481404017413,-12.707888976632663,-11.135083703294653,5.0515478657979086e-20,5.960464477539063e-08,False,1.66701079571331e-19,9.594894037014101e-08
residual_likelihood_guided_diffusion,explicit_residual_target_diffusion,ause_abs_error,25,0.004729370107181777,0.004668970804257901,0.0037505293501957524,0.005766987370930884,3.7081817595741805e-09,5.960464477539063e-08,True,5.691627817020836e-09,9.594894037014101e-08
residual_likelihood_guided_diffusion,explicit_residual_target_diffusion,width90_norm,25,0.16010768309235573,0.1623601615428925,0.14368276891857384,0.1777994020394981,1.798921115517658e-15,5.960464477539063e-08,True,3.1807927943968524e-15,9.594894037014101e-08
residual_likelihood_guided_diffusion,prior_init_diffusion_unet,mae_kpa,25,7.4920654296875e-05,-9.250640869140625e-05,-0.00012705922126778546,0.0002967135906219631,0.5073661813476786,0.8948604464530945,True,0.5581027994824465,0.9228248354047537
